Testcase, Testcase #,domainCodeRegister,category,staticGroup,requestedDate,messageRegister,action,userTokenValidity,domainCodeSaveAction,value,data,messageSaveAction
Save Action - SS_ACCOUNT_ACTIVATION,TC-005,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/8/2020,OK,SS_ACCOUNT_ACTIVATION,Valid,PETSURE,gihan@intervest.lk," {
""first_name"": ""Gihan"",
""sur_name"": ""Kadawathage"",
""title"": ""Mr"",
""link"": ""https://www.google.com?text=1""
}
",Document action saved successfully
,TC-006,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/9/2020,OK,SS_ACCOUNT_ACTIVATION,Valid,PETSURE,," {
""first_name"": ""Gihan"",
""sur_name"": ""Kadawathage"",
""title"": ""Mr"",
""link"": ""https://www.google.com?text=1""
}
",Email address is null or invalid!
,TC-007,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/10/2020,OK,SS_ACCOUNT_ACTIVATION,Valid,PETSURE,rumanaintervest.lk," {
""first_name"": ""Gihan"",
""sur_name"": ""Kadawathage"",
""title"": ""Mr"",
""link"": ""https://www.google.com?text=1""
}
",Email address is null or invalid!
,TC-008,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/11/2020,OK,SS_ACCOUNT_ACTIVATION,null,PETSURE,gihan@intervest.lk," {
""first_name"": ""Gihan"",
""sur_name"": ""Kadawathage"",
""title"": ""Mr"",
""link"": ""https://www.google.com?text=1""
}
",Invalid token
,TC-009,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/12/2020,OK,SS_ACCOUNT_ACTIVATION,Invalid,Invalid,gihan@intervest.lk," {
""first_name"": ""Gihan"",
""sur_name"": ""Kadawathage"",
""title"": ""Mr"",
""link"": ""https://www.google.com?text=1""
}
",Invalid domain code
,TC-010,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/13/2020,OK,SS_ACCOUNT_ACTIVATION,Valid,null,gihan@intervest.lk," {
""first_name"": ""Gihan"",
""sur_name"": ""Kadawathage"",
""title"": ""Mr"",
""link"": ""https://www.google.com?text=1""
}
",Invalid domain code
,TC-011,STS,user,"{
        ""underwriter"":""GLI""
 }",12/14/2020,OK,SS_ACCOUNT_ACTIVATION,Valid,PETSURE,gihan@intervest.lk," {
""first_name"": ""Gihan"",
""sur_name"": ""Kadawathage"",
""title"": ""Mr"",
""link"": ""https://www.google.com?text=1""
}
",Requested domain and registered domain are mismatch
,TC-012,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/15/2020,OK,SS_ACCOUNT_ACTIVATION,Valid,PETSURE,gihan@intervest.lk," {
""first_name"": """",
""sur_name"": ""Kadawathage"",
""title"": ""Mr"",
""link"": ""https://www.google.com?text=1""
}
",Document action saved successfully
,TC-013,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/16/2020,OK,SS_ACCOUNT_ACTIVATION,Valid,PETSURE,gihan@intervest.lk," {
""first_name"": ""Gihan"",
""sur_name"": """",
""title"": ""Mr"",
""link"": ""https://www.google.com?text=1""
}
",Document action saved successfully
,TC-014,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/17/2020,OK,SS_ACCOUNT_ACTIVATION,Valid,PETSURE,gihan@intervest.lk," {
""first_name"": ""Gihan"",
""sur_name"": ""Kadawathage"",
""title"": """",
""link"": ""https://www.google.com?text=1""
}
",Document action saved successfully
,TC-015,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/18/2020,OK,SS_ACCOUNT_ACTIVATION,Valid,PETSURE,gihan@intervest.lk," {
""first_name"": ""Gihan"",
""sur_name"": ""Kadawathage"",
""title"": ""Mr"",
""link"": """"
}
",Document action saved successfully
Save Action - SS_ACCOUNT_CREATE_CONFIRMATION,TC-005,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/8/2020,OK,SS_ACCOUNT_CREATE_CONFIRMATION,Valid,PETSURE,gihan@intervest.lk,"{
""first_name"": ""Gihan"",
""sur_name"": ""Kadawathage"",
""title"": ""Mr"",
""account_number"": ""2216313063"",
""login_link"": ""https://www.google.com?text=1""
}",Document action saved successfully
,TC-006,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/9/2020,OK,SS_ACCOUNT_CREATE_CONFIRMATION,Valid,PETSURE,,"{
""first_name"": ""Gihan"",
""sur_name"": ""Kadawathage"",
""title"": ""Mr"",
""account_number"": ""2216313063"",
""login_link"": ""https://www.google.com?text=1""
}",Email address is null or invalid!
,TC-007,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/10/2020,OK,SS_ACCOUNT_CREATE_CONFIRMATION,Valid,PETSURE,rumanaintervest.lk,"{
""first_name"": ""Gihan"",
""sur_name"": ""Kadawathage"",
""title"": ""Mr"",
""account_number"": ""2216313063"",
""login_link"": ""https://www.google.com?text=1""
}",Email address is null or invalid!
,TC-008,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/11/2020,OK,SS_ACCOUNT_CREATE_CONFIRMATION,null,PETSURE,gihan@intervest.lk,"{
""first_name"": ""Gihan"",
""sur_name"": ""Kadawathage"",
""title"": ""Mr"",
""account_number"": ""2216313063"",
""login_link"": ""https://www.google.com?text=1""
}",Invalid token
,TC-009,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/12/2020,OK,SS_ACCOUNT_CREATE_CONFIRMATION,Invalid,Invalid,gihan@intervest.lk,"{
""first_name"": ""Gihan"",
""sur_name"": ""Kadawathage"",
""title"": ""Mr"",
""account_number"": ""2216313063"",
""login_link"": ""https://www.google.com?text=1""
}",Invalid domain code
,TC-010,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/13/2020,OK,SS_ACCOUNT_CREATE_CONFIRMATION,Valid,null,gihan@intervest.lk,"{
""first_name"": ""Gihan"",
""sur_name"": ""Kadawathage"",
""title"": ""Mr"",
""account_number"": ""2216313063"",
""login_link"": ""https://www.google.com?text=1""
}",Invalid domain code
,TC-011,STS,user,"{
        ""underwriter"":""GLI""
 }",12/14/2020,OK,SS_ACCOUNT_CREATE_CONFIRMATION,Valid,PETSURE,gihan@intervest.lk,"{
""first_name"": ""Gihan"",
""sur_name"": ""Kadawathage"",
""title"": ""Mr"",
""account_number"": ""2216313063"",
""login_link"": ""https://www.google.com?text=1""
}",Requested domain and registered domain are mismatch
,TC-012,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/15/2020,OK,SS_ACCOUNT_CREATE_CONFIRMATION,Valid,PETSURE,gihan@intervest.lk,"{
""first_name"": ""Gihan"",
""sur_name"": ""Kadawathage"",
""title"": ""Mr"",
""account_number"": ""2216313063"",
""login_link"": ""https://www.google.com?text=1""
}",Document action saved successfully
,TC-013,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/16/2020,OK,SS_ACCOUNT_CREATE_CONFIRMATION,Valid,PETSURE,gihan@intervest.lk,"{
""first_name"": ""Gihan"",
""sur_name"": ""Kadawathage"",
""title"": ""Mr"",
""account_number"": ""2216313063"",
""login_link"": ""https://www.google.com?text=1""
}",Document action saved successfully
,TC-014,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/17/2020,OK,SS_ACCOUNT_CREATE_CONFIRMATION,Valid,PETSURE,gihan@intervest.lk,"{
""first_name"": ""Gihan"",
""sur_name"": ""Kadawathage"",
""title"": ""Mr"",
""account_number"": ""2216313063"",
""login_link"": ""https://www.google.com?text=1""
}",Document action saved successfully
,TC-015,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/18/2020,OK,SS_ACCOUNT_CREATE_CONFIRMATION,Valid,PETSURE,gihan@intervest.lk,"{
""first_name"": ""Gihan"",
""sur_name"": ""Kadawathage"",
""title"": ""Mr"",
""account_number"": ""2216313063"",
""login_link"": ""https://www.google.com?text=1""
}",Document action saved successfully
,TC-016,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/19/2020,OK,SS_ACCOUNT_CREATE_CONFIRMATION,Valid,PETSURE,gihan@intervest.lk,"{
""first_name"": ""Gihan"",
""sur_name"": ""Kadawathage"",
""title"": ""Mr"",
""account_number"": ""2216313063"",
""login_link"": ""https://www.google.com?text=1""
}",Document action saved successfully
Save Action - SS_CHANGE_USERNAME_REQUEST_INFORM,TC-005,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/8/2020,OK,SS_CHANGE_USERNAME_REQUEST_INFORM,Valid,PETSURE,gihan@intervest.lk,"{
""first_name"": ""Gihan"",
""sur_name"": ""Kadawathage"",
""title"": ""Mr""
}",Document action saved successfully
,TC-006,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/9/2020,OK,SS_CHANGE_USERNAME_REQUEST_INFORM,Valid,PETSURE,,"{
""first_name"": ""Gihan"",
""sur_name"": ""Kadawathage"",
""title"": ""Mr""
}",Email address is null or invalid!
,TC-007,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/10/2020,OK,SS_CHANGE_USERNAME_REQUEST_INFORM,Valid,PETSURE,rumanaintervest.lk,"{
""first_name"": ""Gihan"",
""sur_name"": ""Kadawathage"",
""title"": ""Mr""
}",Email address is null or invalid!
,TC-008,PETSURE,user,"{
        ""underwriter"":""GLI""
 }",12/11/2020,OK,SS_CHANGE_USERNAME_REQUEST_INFORM,null,PETSURE,gihan@intervest.lk,"{
""first_name"": ""Gihan"",
""sur_name"": ""Kadawathage"",
""title"": ""Mr""
}",Invalid token
